,w,Tx,Data Queue,Prediction,Analysis,Model Type
177,50,1,2.7369999999999997,29.603,0.067,Original
178,50,1,2.064,30.986,0.06499999999999999,Original
179,50,1,2.059,35.627,0.075,Original
180,50,1,2.346,29.558,0.076,Original
181,50,1,2.3939999999999997,29.982000000000003,0.08399999999999999,Original
182,50,1,2.372,29.138,0.07200000000000001,Original
183,50,1,2.4459999999999997,29.528,0.074,Original
184,50,1,2.432,28.766,0.075,Original
185,50,1,2.332,28.985,0.075,Original
186,50,1,2.37,29.91,0.074,Original
187,50,1,2.3640000000000003,34.842,0.081,Original
188,50,1,2.402,29.027,0.073,Original
189,50,1,2.351,28.937,0.07200000000000001,Original
190,50,1,2.322,29.172,0.077,Original
191,50,1,2.4290000000000003,29.188,0.075,Original
192,50,1,2.332,28.66,0.073,Original
193,50,1,2.355,28.655,0.074,Original
194,50,1,2.353,29.904,0.06899999999999999,Original
195,50,1,2.12,36.625,0.06999999999999999,Original
196,50,1,2.184,29.343999999999998,0.081,Original
197,50,1,2.406,29.807,0.078,Original
198,50,1,2.417,29.084,0.076,Original
199,50,1,2.347,29.708,0.079,Original
200,50,1,2.494,29.315,0.082,Original
201,50,1,2.421,30.378,0.075,Original
202,20,1,2.027,94.66199999999999,0.08600000000000001,Original
203,20,1,2.333,28.808,0.06899999999999999,Original
204,20,1,2.369,29.119,0.07100000000000001,Original
205,20,1,2.373,32.796,0.07100000000000001,Original
206,20,1,2.437,30.343,0.074,Original
207,20,1,2.5820000000000003,30.214000000000002,0.06999999999999999,Original
208,20,1,2.536,29.080000000000002,0.073,Original
209,20,1,2.5309999999999997,29.485,0.06999999999999999,Original
210,20,1,2.323,28.761,0.06999999999999999,Original
211,20,1,2.418,29.148,0.073,Original
212,20,1,2.3440000000000003,28.499,0.06899999999999999,Original
213,20,1,2.3449999999999998,34.114,0.06999999999999999,Original
214,20,1,2.34,28.745,0.07200000000000001,Original
215,20,1,2.3440000000000003,29.436,0.06899999999999999,Original
216,20,1,2.352,28.779,0.06999999999999999,Original
217,20,1,2.367,28.982,0.06899999999999999,Original
218,20,1,2.331,28.913999999999998,0.068,Original
219,20,1,2.334,28.729999999999997,0.06999999999999999,Original
220,20,1,2.513,28.779,0.07100000000000001,Original
221,20,1,2.326,34.120999999999995,0.06999999999999999,Original
222,20,1,2.3440000000000003,28.805999999999997,0.06999999999999999,Original
223,20,1,2.359,29.093999999999998,0.06899999999999999,Original
224,20,1,2.336,28.477,0.06999999999999999,Original
225,20,1,2.366,28.542,0.06899999999999999,Original
226,20,1,2.355,29.13,0.06999999999999999,Original
227,20,1,2.3440000000000003,27.891,0.079,Original
228,20,1,2.373,27.810000000000002,0.055,Original
229,20,1,2.298,31.808000000000003,0.06999999999999999,Original
230,20,1,2.346,27.739,0.060000000000000005,Original
231,20,1,2.053,24.743000000000002,0.055,Original
232,20,1,1.9929999999999999,24.400000000000002,0.057,Original
233,20,1,2.285,25.656000000000002,0.058,Original
234,20,1,1.9220000000000002,25.343999999999998,0.058,Original
235,20,1,1.96,24.271,0.053,Original
236,20,1,2.2079999999999997,23.393,0.055,Original
